36744 : ['n.a.', '03:00PM - 04:50PM', 'T']
61499 : ['n.a.', '09:30AM - 10:50AM', 'TR']
58282 : ['149 National Soybean Res Ctrn.a.', '02:00PM - 03:20PM0000ARRANGED', 'M      n.a.']
58547 : ['n.a.', 'ARRANGED', 'n.a.']
73756 : ['132 Bevier Hall', '12:30PM - 01:50PM', 'TR']
61568 : ['109 ACES Lib, Info & Alum Ctr', '10:00AM - 10:50AM', 'F']
61575 : ['109 ACES Lib, Info & Alum Ctr', '11:00AM - 11:50AM', 'F']
61580 : ['109 ACES Lib, Info & Alum Ctr', '01:00PM - 01:50PM', 'F']
61585 : ['109 ACES Lib, Info & Alum Ctr', '02:00PM - 02:50PM', 'F']
61590 : ['108 Bevier Hall', '01:00PM - 01:50PM', 'F']
61595 : ['108 Bevier Hall', '02:00PM - 02:50PM', 'F']
61563 : ['THEAT Lincoln Hall', '02:00PM - 02:50PM', 'MW']
29698 : ['100 Noyes Laboratoryn.a.', '02:00PM - 03:20PM0000ARRANGED', 'R      n.a.']
51717 : ['100 Gregory Hall', '09:30AM - 10:50AM', 'TR']
74876 : ['n.a.', 'ARRANGED', 'n.a.']
69393 : ['n.a.', 'ARRANGED', 'n.a.']
73062 : ['313 Mumford Hall', '03:00PM - 03:50PM', 'R']
40968 : ['313 Mumford Hall', '04:00PM - 04:50PM', 'R']
49099 : ['107 Animal Sciences Laboratory', '10:00AM - 10:50AM', 'F']
49100 : ['107 Animal Sciences Laboratory', '11:00AM - 11:50AM', 'F']
58922 : ['n.a.', '02:00PM - 02:50PM', 'F']
65292 : ['n.a.', '09:00AM - 09:50AM', 'F']
75099 : ['n.a.', '03:00PM - 03:50PM', 'F']
75100 : ['n.a.', '12:00PM - 12:50PM', 'F']
49101 : ['n.a.', 'ARRANGED', 'n.a.']
31419 : ['320 Mumford Hall', '03:30PM - 04:50PM', 'TR']
31395 : ['313 Mumford Hall', '09:00AM - 09:50AM', 'F']
72898 : ['149 National Soybean Res Ctr', '11:00AM - 11:50AM', 'MWF']
72900 : ['134 Temple Hoyne Buell Hall', '12:30PM - 01:50PM', 'TR']
